date,year,district,temperature,max_temperature,rainfall,wind_speed,humidity,green_ratio,heat_index,heatwave_days,patient_count,death_count
2021-05-25,2021,강남구,15.9,19.9,6.5,2.1,72.3,0.455681013,23.13,0,0,0
2021-05-26,2021,강남구,19.6,25.6,0.0,1.9,58.5,0.455681013,25.45,0,0,0
2021-05-27,2021,강남구,16.5,19.6,8.5,1.9,83.0,0.455681013,24.8,0,0,0
2021-05-28,2021,강남구,16.1,21.8,20.5,1.9,86.0,0.455681013,24.7,0,0,0
2021-05-29,2021,강남구,16.8,21.1,0.0,1.3,79.8,0.455681013,24.78,0,0,0
2021-05-30,2021,강남구,19.8,28.5,21.5,1.8,73.0,0.455681013,27.1,0,0,0
2021-05-31,2021,강남구,21.3,24.9,1.0,1.2,78.9,0.455681013,29.19,0,0,0
2021-06-01,2021,강남구,22.2,26.0,0.0,1.4,74.6,0.455681013,29.66,0,0,0
2021-06-02,2021,강남구,25.2,31.5,0.0,1.3,64.4,0.455681013,31.64,0,0,0
2021-06-03,2021,강남구,20.3,24.5,27.0,0.8,80.8,0.455681013,28.38,0,0,0
2021-06-04,2021,강남구,19.2,24.1,0.5,1.9,69.4,0.455681013,26.14,0,0,0
2021-06-05,2021,강남구,21.6,27.0,0.0,2.2,68.1,0.455681013,28.41,0,0,0
2021-06-06,2021,강남구,23.9,29.4,0.0,1.3,69.6,0.455681013,30.86,0,0,0
2021-06-07,2021,강남구,22.6,26.1,0.0,0.8,71.5,0.455681013,29.75,0,0,0
2021-06-08,2021,강남구,25.3,30.2,0.0,1.0,69.6,0.455681013,32.26,0,0,0
2021-06-09,2021,강남구,28.1,33.9,0.0,0.9,59.1,0.455681013,34.01,1,0,0
2021-06-10,2021,강남구,26.5,32.0,7.0,1.3,68.5,0.455681013,33.35,0,0,0
2021-06-11,2021,강남구,22.6,25.8,5.5,2.0,84.5,0.455681013,31.05,0,0,0
2021-06-12,2021,강남구,25.8,32.3,0.0,1.2,74.6,0.455681013,33.26,0,0,0
2021-06-13,2021,강남구,25.8,31.4,0.0,1.2,72.6,0.455681013,33.06,0,0,0
2021-06-14,2021,강남구,25.2,31.6,0.0,1.2,68.8,0.455681013,32.08,0,0,0
2021-06-15,2021,강남구,23.8,26.3,1.5,1.8,79.1,0.455681013,31.71,0,0,0
2021-06-16,2021,강남구,25.9,30.1,0.0,3.1,59.9,0.455681013,31.89,0,0,0
2021-06-17,2021,강남구,23.1,26.2,0.0,1.7,71.4,0.455681013,30.24,0,0,0
2021-06-18,2021,강남구,20.5,21.8,7.5,1.6,92.1,0.455681013,29.71,0,0,0
2021-06-19,2021,강남구,23.8,29.0,0.0,1.1,74.0,0.455681013,31.2,0,0,0
2021-06-20,2021,강남구,24.2,30.8,0.0,1.9,73.3,0.455681013,31.53,0,0,0
2021-06-21,2021,강남구,25.0,30.1,0.0,1.3,67.0,0.455681013,31.7,0,0,0
2021-06-22,2021,강남구,24.2,29.5,15.0,1.3,67.9,0.455681013,30.99,0,0,0
2021-06-23,2021,강남구,23.3,28.9,22.5,1.6,70.5,0.455681013,30.35,0,0,0
2021-06-24,2021,강남구,24.1,28.9,0.0,1.0,71.1,0.455681013,31.21,0,0,0
2021-06-25,2021,강남구,25.4,30.0,0.0,1.0,69.0,0.455681013,32.3,0,0,0
