district,year,district_population
종로구,2021,153789
중구,2021,131787
용산구,2021,237285
성동구,2021,292672
광진구,2021,352627
동대문구,2021,352006
중랑구,2021,391885
성북구,2021,440142
강북구,2021,302563
도봉구,2021,319373
노원구,2021,514946
은평구,2021,477173
서대문구,2021,315659
마포구,2021,378686
양천구,2021,450487
강서구,2021,579768
구로구,2021,421163
금천구,2021,244891
영등포구,2021,400908
동작구,2021,394364
관악구,2021,499449
서초구,2021,416167
강남구,2021,537800
송파구,2021,663965
강동구,2021,466472
종로구,2022,152211
중구,2022,130785
용산구,2022,233284
성동구,2022,288234
광진구,2022,351252
동대문구,2022,353601
중랑구,2022,390140
성북구,2022,441984
강북구,2022,297702
도봉구,2022,313989
노원구,2022,508014
은평구,2022,470602
서대문구,2022,319554
마포구,2022,375585
양천구,2022,444010
강서구,2022,574638
구로구,2022,418418
금천구,2022,242818
영등포구,2022,398085
동작구,2022,390432
관악구,2022,501226
서초구,2022,408451
강남구,2022,534103
송파구,2022,664514
강동구,2022,464037
종로구,2023,150453
중구,2023,131793
용산구,2023,227106
성동구,2023,284766
광진구,2023,351180
동대문구,2023,359873
중랑구,2023,387470
성북구,2023,438168
강북구,2023,292977
도봉구,2023,309494
노원구,2023,502925
은평구,2023,470869
서대문구,2023,320629
마포구,2023,375162
양천구,2023,439252
강서구,2023,568826
구로구,2023,415651
금천구,2023,241105
영등포구,2023,397800
동작구,2023,389714
관악구,2023,497883
서초구,2023,412078
강남구,2023,550282
송파구,2023,660025
강동구,2023,463318
종로구,2024,149608
중구,2024,131214
용산구,2024,217194
성동구,2024,281289
광진구,2024,348652
동대문구,2024,358603
중랑구,2024,385349
성북구,2024,435037
강북구,2024,289374
도봉구,2024,306032
노원구,2024,496552
은평구,2024,465350
서대문구,2024,318622
마포구,2024,372745
양천구,2024,434351
강서구,2024,562194
구로구,2024,411916
금천구,2024,239070
영등포구,2024,397173
동작구,2024,387352
관악구,2024,495620
서초구,2024,413076
강남구,2024,563215
송파구,2024,656310
강동구,2024,481474
종로구,2025,148813
중구,2025,128444
용산구,2025,214984
성동구,2025,282714
광진구,2025,349117
동대문구,2025,366923
중랑구,2025,383764
성북구,2025,437496
강북구,2025,285900
도봉구,2025,303051
노원구,2025,489003
은평구,2025,459586
서대문구,2025,316832
마포구,2025,369364
양천구,2025,428537
강서구,2025,556370
구로구,2025,408238
금천구,2025,237562
영등포구,2025,395248
동작구,2025,384281
관악구,2025,497391
서초구,2025,419295
강남구,2025,562508
송파구,2025,649759
강동구,2025,503997
