district,year,district_population,green_ratio
종로구,2021,153789,0.9368632371392722
중구,2021,131787,2.2247891566265063
용산구,2021,237285,1.6357521719250114
성동구,2021,292672,1.807953736654804
광진구,2021,352627,1.6839800703399763
동대문구,2021,352006,2.95626582278481
중랑구,2021,391885,2.919102702702703
성북구,2021,440142,1.6618022782750204
강북구,2021,302563,0.587521186440678
도봉구,2021,319373,1.2781404358353512
노원구,2021,514946,1.8624661399548537
은평구,2021,477173,1.3805553685627736
서대문구,2021,315659,1.437475893363585
마포구,2021,378686,3.7165828092243185
양천구,2021,450487,2.7441068351522113
강서구,2021,579768,2.781027744270205
구로구,2021,421163,3.1218190854870773
금천구,2021,244891,2.982258064516129
영등포구,2021,400908,3.2536537678207735
동작구,2021,394364,1.7273716381418094
관악구,2021,499449,0.8540953669259385
서초구,2021,416167,3.0846253724989356
강남구,2021,537800,5.082541772151899
송파구,2021,663965,2.955944510035419
강동구,2021,466472,2.463416022773485
종로구,2022,152211,0.9554621497281472
중구,2022,130785,2.231696787148594
용산구,2022,233284,1.6212528577960676
성동구,2022,288234,1.8520332936979784
광진구,2022,351252,1.70320633059789
동대문구,2022,353601,2.963206751054852
중랑구,2022,390140,2.918778378378378
성북구,2022,441984,1.6796623270951994
강북구,2022,297702,0.5895296610169491
도봉구,2022,313989,1.2899370460048427
노원구,2022,508014,1.9004147855530475
은평구,2022,470602,1.3805553685627736
서대문구,2022,319554,1.4452467385138967
마포구,2022,375585,3.7165828092243185
양천구,2022,444010,2.767731188971855
강서구,2022,574638,2.7815946924004824
구로구,2022,418418,3.3881510934393635
금천구,2022,242818,3.2361904761904765
영등포구,2022,398085,3.2728594704684317
동작구,2022,390432,1.73
관악구,2022,501226,0.8545147108555969
서초구,2022,408451,3.080932510112838
강남구,2022,534103,5.069746835443038
송파구,2022,664514,2.955944510035419
강동구,2022,464037,2.468235054900366
종로구,2023,150453,0.9554621497281472
중구,2023,131793,2.3868072289156625
용산구,2023,227106,1.7052949245541835
성동구,2023,284766,1.7086860879904873
광진구,2023,351180,1.7048534583821804
동대문구,2023,359873,2.961898734177215
중랑구,2023,387470,2.9208486486486485
성북구,2023,438168,1.5878030919446704
강북구,2023,292977,0.5895296610169491
도봉구,2023,309494,1.315050847457627
노원구,2023,502925,1.9024887133182844
은평구,2023,470869,1.4690138000673174
서대문구,2023,320629,1.4500113442994895
마포구,2023,375162,3.71251572327044
양천구,2023,439252,2.7677426766226305
강서구,2023,568826,2.788400482509047
구로구,2023,415651,3.4269731610337972
금천구,2023,241105,3.2479032258064517
영등포구,2023,397800,3.361560081466395
동작구,2023,389714,1.73
관악구,2023,497883,0.8585525870815016
서초구,2023,412078,3.080932510112838
강남구,2023,550282,4.9381974683544305
송파구,2023,660025,3.119755017709563
강동구,2023,463318,2.47079707198048
종로구,2024,149608,0.9559514847344208
중구,2024,131214,2.221877510040161
용산구,2024,217194,1.613273891175126
성동구,2024,281289,1.8520166073546855
광진구,2024,348652,1.7048534583821804
동대문구,2024,358603,2.9644444444444447
중랑구,2024,385349,2.9200702702702706
성북구,2024,435037,1.5817745217745218
강북구,2024,289374,0.5902415254237288
도봉구,2024,306032,1.3233753026634385
노원구,2024,496552,1.9334480812641084
은평구,2024,465350,1.3798586334567486
서대문구,2024,318622,1.4406352807714125
마포구,2024,372745,3.6896603773584906
양천구,2024,434351,2.7616427340608847
강서구,2024,562194,2.7813558504221954
구로구,2024,411916,3.4478429423459245
금천구,2024,239070,3.237181259600615
영등포구,2024,397173,3.364395112016293
동작구,2024,387352,1.62765749235474
관악구,2024,495620,0.8532059519783565
서초구,2024,413076,3.080932510112838
강남구,2024,563215,4.908390280941534
송파구,2024,656310,2.9615850059031876
강동구,2024,481474,2.4734810898739323
종로구,2025,148813,0.9386407360936846
중구,2025,128444,2.1705522088353413
용산구,2025,214984,1.6143895747599453
성동구,2025,282714,1.85128418549346
광진구,2025,349117,1.723194607268464
동대문구,2025,366923,2.9775527426160338
중랑구,2025,383764,3.018854054054054
성북구,2025,437496,1.636299308662058
강북구,2025,285900,0.5906819144430326
도봉구,2025,303051,1.3228910411622277
노원구,2025,489003,1.9211562323745064
은평구,2025,459586,1.4046516324469875
서대문구,2025,316832,1.474117980714691
마포구,2025,369364,3.713622641509434
양천구,2025,428537,2.7627857553130384
강서구,2025,556370,2.7940096501809406
구로구,2025,408238,3.459985089463221
금천구,2025,237562,3.2499923195084484
영등포구,2025,395248,3.2858696537678207
동작구,2025,384281,1.9253300733496337
관악구,2025,497391,0.8567636117686844
서초구,2025,419295,3.08682563338301
강남구,2025,562508,4.914486075949367
송파구,2025,649759,3.12711334120425
강동구,2025,503997,2.5711305408702723
